TimeStamp,FamilyCode,ExternalConnected,AppleRawExternalConnected,ChargingOverride,NotChargingReason,VacVoltageLimit
2023-02-19 03:50:59,,1,1,,0,4450
2023-02-19 03:51:31,,0,0,0,128,4450
2023-02-19 03:51:56,-536854524,1,1,0,128,4450
2023-02-19 03:52:15,-536854521,0,1,0,1024,4450
2023-02-19 03:52:24,-536854521,0,0,0,128,4450
2023-02-19 03:53:11,-536854524,1,1,0,128,4450
2023-02-19 03:56:44,-536854521,0,0,0,128,4450
2023-02-19 03:56:53,-536854524,1,1,0,1024,4450
2023-02-19 03:58:14,-536854521,0,0,0,1024,4450
2023-02-19 03:58:31,-536854521,1,1,0,128,4450
2023-02-19 03:58:36,-536854521,0,0,0,1024,4450
2023-02-19 03:58:39,-536854524,1,1,0,128,4450
2023-02-19 03:59:02,-536854521,0,0,0,1024,4450
2023-02-19 03:59:06,-536854524,1,1,0,1024,4450
2023-02-19 03:59:16,-536854521,0,1,0,1024,4450
2023-02-19 03:59:21,-536854521,0,0,0,128,4450
2023-02-19 03:59:40,-536854521,1,1,0,128,4450
2023-02-19 03:59:48,-536854521,0,0,0,128,4450
2023-02-19 04:00:00,-536854524,1,1,0,1024,4450
2023-02-19 04:27:31,-536854521,0,1,0,1040,4450
2023-02-19 04:27:57,-536854524,1,1,0,128,4450
2023-02-19 04:29:03,,0,0,0,128,4450
2023-02-19 04:29:26,-536854524,1,1,0,1040,4450
2023-02-19 04:31:52,-536854521,0,0,0,128,4450
2023-02-19 04:32:53,-536854524,1,1,0,0,4450
2023-02-19 04:44:07,-536854521,0,0,0,128,4450
2023-02-19 04:47:23,-536854524,1,1,0,1024,4450
2023-02-19 04:53:38,-536854521,0,0,0,128,4450
2023-02-19 04:54:06,-536854524,1,1,0,1040,4450
2023-02-19 05:00:13,-536854521,0,0,0,128,4450
2023-02-19 05:00:16,-536854524,1,1,0,128,4450
2023-02-19 05:00:43,,0,0,0,128,4450
