TimeStamp,FamilyCode,ExternalConnected,AppleRawExternalConnected,ChargingOverride,NotChargingReason,VacVoltageLimit
2023-02-20 07:17:00,,0,0,0,256,4450
2023-02-20 11:24:20,-536854524,1,1,0,1024,4450
2023-02-20 15:40:44,,0,0,0,1,4450
2023-02-20 22:55:12,-536854518,1,1,0,0,4450
2023-02-20 23:16:38,,0,0,0,0,4450
2023-02-21 02:23:32,-536854524,1,1,0,1024,4450
2023-02-21 02:38:11,,0,0,0,128,4450
2023-02-21 03:33:38,-536854524,1,1,0,128,4450
2023-02-21 03:43:21,-536854521,0,0,0,128,4450
2023-02-21 03:45:10,-536854524,1,1,0,128,4450
2023-02-21 03:46:23,,0,0,0,0,4450
2023-02-21 04:07:29,-536854524,1,1,0,1024,4450
2023-02-21 04:10:30,,0,0,0,0,4450
2023-02-21 04:11:12,-536854524,1,1,0,1024,4450
2023-02-21 04:26:11,,0,0,0,0,4450
2023-02-21 04:59:12,-536854518,1,1,0,0,4450
2023-02-21 05:22:23,,0,0,0,128,4450
2023-02-21 05:23:14,-536854518,1,1,0,0,4450
2023-02-21 05:24:37,-536854521,0,1,0,128,4450
2023-02-21 05:25:22,-536854518,1,1,0,0,4450
2023-02-21 05:48:26,,0,0,0,128,4450
2023-02-21 13:46:08,-536854524,1,1,0,0,4450
2023-02-21 13:46:22,,0,0,0,0,4450
2023-02-21 13:46:49,-536854524,1,1,0,0,4450
2023-02-21 13:46:52,,0,0,0,128,4450
2023-02-21 13:47:27,-536854524,1,1,0,128,4450
2023-02-21 13:55:25,,0,0,0,0,4450
2023-02-21 14:22:27,-536854524,1,1,0,128,4450
2023-02-21 14:33:07,,0,0,0,0,4450
2023-02-22 02:15:53,-536854518,1,1,0,0,4450
2023-02-22 02:15:57,,0,0,0,128,4450
2023-02-22 02:16:01,-536854518,1,1,0,0,4450
2023-02-22 02:24:01,,0,0,0,128,4450
2023-02-22 02:44:08,-536854524,1,1,0,128,4450
2023-02-22 02:57:44,,0,0,0,128,4450
2023-02-22 03:34:29,-536854524,1,1,0,1024,4450
2023-02-22 08:51:29,,0,0,0,1,4450
2023-02-22 09:48:52,-536854524,1,1,0,1025,4450
2023-02-22 09:52:33,,0,0,0,1,4450
2023-02-22 10:08:32,-536854524,1,1,0,1025,4450
2023-02-22 10:28:08,,0,0,0,1,4450
2023-02-22 14:22:04,-536854524,1,1,0,128,4450
2023-02-22 14:33:31,,0,0,0,128,4450
2023-02-23 01:53:47,-536854518,1,1,0,0,4450
2023-02-23 02:00:40,,0,0,0,0,4450
2023-02-23 02:32:56,-536854518,1,1,0,0,4450
2023-02-23 02:46:49,,0,0,0,128,4450
2023-02-23 04:18:02,-536854518,1,1,0,0,4450
2023-02-23 04:38:03,,0,0,0,0,4450
2023-02-23 06:01:04,-536854524,1,1,0,1024,4450
2023-02-23 13:10:32,,0,0,0,128,4450
2023-02-24 05:10:13,-536854524,1,1,0,1024,4450
2023-02-24 12:03:41,,0,0,0,1,4450
