TimeStamp,RaTableRaw0,TotalOperatingTime,GasGaugeFirmwareVersion
2023-02-17 04:02:50,00650051005e006d0069007000870075007e00830092008c00af021f10cd0000,4672,109050658
2023-02-24 04:02:50,006d005b007100830078008e009e0076007600750083007f009c01b80e2b0000,4840,109050658
