TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-19 23:24:01,15871,2,1,2950,465,419,3622,2,1994,1000,367,39951
2023-02-19 23:29:02,14636,10,1,4439,3087,3141,3965,10,1762,1000,68,39951
2023-02-19 23:34:02,14441,11,0,3609,-560,-556,3670,10,1726,431,80,39951
2023-02-19 23:39:50,14578,9,0,3329,-12,-6,3648,10,1751,626,94,39948
2023-02-19 23:44:51,14802,8,0,3339,-12,-6,3671,8,1793,708,104,39949
2023-02-19 23:59:02,14935,7,0,2729,-641,-598,3629,6,1818,528,168,39949
2023-02-20 00:14:01,15117,6,0,3100,-1045,-951,3613,5,1852,526,154,39948
2023-02-20 00:20:41,15213,5,0,3029,-13,-7,3678,6,1870,584,159,39949
2023-02-20 00:39:44,15356,4,0,2959,-141,-70,3589,3,1897,392,206,39948
2023-02-20 00:54:02,15480,3,0,2759,-784,-664,3612,2,1917,346,265,39951
2023-02-20 01:04:05,15661,2,0,2639,-11,-4,3600,3,1951,305,316,39950
2023-02-20 01:19:02,15868,1,0,2639,-667,-700,3495,1,1989,233,471,39948
2023-02-20 01:39:01,15020,8,0,2559,-49,-32,3710,7,1830,1000,191,39951
2023-02-20 01:44:02,15094,6,0,2619,-1010,-826,3603,5,1844,410,206,39951
2023-02-20 01:49:01,15404,4,0,2809,-655,-574,3589,3,1902,419,233,39938
2023-02-20 01:54:01,15668,3,0,2979,-85,-96,3595,3,1952,358,256,39942
2023-02-20 01:59:02,15947,1,0,2929,-728,-726,3438,1,2004,228,536,39947
