TimeStamp,FamilyCode,ExternalConnected,AppleRawExternalConnected,ChargingOverride,NotChargingReason,VacVoltageLimit
2023-02-17 04:02:49,,1,1,,0,4450
2023-02-17 04:20:16,-536854521,0,0,0,1024,4450
2023-02-17 04:20:52,-536854524,1,1,0,128,4450
2023-02-17 04:21:00,-536854521,0,0,0,1024,4450
2023-02-17 06:51:51,-536854524,1,1,0,128,4450
2023-02-17 06:52:03,,0,0,0,0,4450
2023-02-17 06:52:10,-536854524,1,1,0,1024,4450
2023-02-17 13:52:57,,0,0,0,128,4450
2023-02-18 04:18:29,-536854524,1,1,0,1024,4450
2023-02-18 04:23:23,-536854521,0,0,0,1024,4450
2023-02-18 04:26:56,-536854524,1,1,0,128,4450
2023-02-18 04:29:37,,0,0,0,0,4450
2023-02-18 05:14:37,-536854524,1,1,0,1024,4450
2023-02-18 05:25:28,,0,0,0,128,4450
2023-02-18 15:10:38,-536854524,1,1,0,1024,4450
2023-02-18 15:23:43,,0,0,0,0,4450
2023-02-18 15:39:35,-536854524,1,1,0,0,4450
2023-02-18 15:47:19,,0,0,0,0,4450
2023-02-18 15:47:34,-536854524,1,1,0,0,4450
2023-02-18 15:58:54,,0,0,0,0,4450
2023-02-18 18:17:09,-536854524,1,1,0,128,4450
2023-02-18 18:30:16,-536854521,0,0,0,128,4450
2023-02-18 19:09:47,-536854524,1,1,0,1024,4450
2023-02-18 19:21:48,-536854521,0,0,0,1024,4450
2023-02-18 19:26:34,-536854524,1,1,0,128,4450
2023-02-18 19:31:12,-536854521,0,1,0,1024,4450
2023-02-18 19:31:15,-536854518,1,1,0,0,4450
2023-02-18 19:33:02,,0,0,0,128,4450
2023-02-18 20:40:02,-536854524,1,1,0,0,4450
2023-02-18 20:42:03,-536854521,0,0,0,128,4450
2023-02-18 20:42:11,-536854524,1,1,0,128,4450
2023-02-18 20:42:14,-536854521,0,1,0,128,4450
2023-02-18 20:42:16,-536854524,1,1,0,0,4450
2023-02-18 20:43:08,-536854521,0,0,0,128,4450
2023-02-18 20:43:15,-536854524,1,1,0,128,4450
2023-02-18 20:46:39,-536854518,0,1,0,16,4450
2023-02-18 20:46:41,-536854524,1,1,0,16,4450
2023-02-18 20:46:51,,0,0,0,1040,4450
2023-02-18 20:46:55,-536854524,1,1,0,1040,4450
2023-02-18 20:57:08,,0,0,0,0,4450
2023-02-18 21:04:25,-536854524,1,1,0,1024,4450
2023-02-18 21:14:55,,0,0,0,128,4450
2023-02-18 22:37:37,-536854524,1,1,0,0,4450
2023-02-18 22:48:59,,0,0,0,0,4450
2023-02-19 00:59:11,-536854524,1,1,0,1024,4450
2023-02-19 01:00:02,,0,0,0,0,4450
2023-02-19 01:00:54,-536854524,1,1,0,128,4450
2023-02-19 01:01:41,,0,0,0,0,4450
2023-02-19 02:19:43,-536854524,1,1,0,128,4450
2023-02-19 02:26:14,-536854518,0,0,0,0,4450
