TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-19 18:05:27,15909,2,0,3419,-1000,-2379,3495,2,1959,1000,317,37890
2023-02-19 18:10:27,14653,10,1,4589,3039,2944,3961,10,1723,1000,64,37888
2023-02-19 18:15:27,13353,18,1,4729,3008,2999,3931,18,1479,1000,58,37888
2023-02-19 18:20:27,12182,25,1,4350,1933,1934,3941,25,1259,1000,61,37888
2023-02-19 18:25:27,11348,31,0,4000,-510,-486,3819,29,1102,1000,85,37890
2023-02-19 18:30:27,11608,29,0,3650,-614,-561,3763,27,1151,446,91,37890
2023-02-19 18:35:27,11868,27,0,3539,-724,-974,3746,26,1200,566,87,37890
2023-02-19 18:40:27,12134,25,0,3559,-641,-549,3740,24,1250,635,80,37892
2023-02-19 18:45:27,12402,23,0,3509,-517,-507,3732,23,1300,713,80,37903
2023-02-19 18:50:27,12569,22,0,3319,-588,-619,3713,21,1332,755,88,37901
2023-02-19 18:55:26,12891,20,0,3300,-631,-651,3700,19,1392,821,90,37889
2023-02-19 19:10:27,13166,18,0,2869,-534,-450,3682,17,1444,847,109,37889
2023-02-19 19:15:27,13477,16,0,3000,-474,-453,3691,16,1502,870,101,37894
2023-02-19 19:20:27,13608,15,0,2979,-1044,-1006,3677,15,1527,850,104,37895
2023-02-19 19:25:26,13884,14,0,3239,-140,-135,3668,13,1579,930,91,37900
2023-02-19 19:30:27,14123,12,0,3239,-615,-568,3658,12,1624,940,93,37895
2023-02-19 19:38:32,14206,11,0,3200,-36,-31,3693,12,1651,967,92,37894
2023-02-19 19:45:27,14542,9,0,3100,-731,-621,3640,9,1703,927,111,37895
2023-02-19 19:50:27,14739,8,0,3300,-13,-6,3672,9,1755,1013,102,37898
2023-02-19 20:23:34,14971,7,0,2559,-44,-36,3633,7,1782,529,190,37897
2023-02-19 20:25:27,15074,6,0,2619,-620,-605,3621,5,1802,579,204,37899
2023-02-19 20:35:27,15326,5,0,3159,-527,-503,3604,4,1861,643,170,37897
2023-02-19 20:40:27,15588,3,0,3459,-745,-699,3568,2,1912,474,181,37903
2023-02-19 20:49:58,15531,2,0,3389,-48,-5,3546,4,1936,327,167,37901
2023-02-19 21:00:27,16011,1,1,3229,-593,-467,3576,1,1978,1000,575,37903
