TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-17 04:02:50,7530,55,1,1750,249,-209,3904,54,418,1000,157,17421
2023-02-17 04:07:51,6775,59,1,3100,1972,1973,4204,58,276,1000,105,17422
2023-02-17 04:12:51,5907,64,1,3829,1993,1971,4206,64,113,1000,63,17422
2023-02-17 04:17:50,5034,69,1,4009,1991,1992,4241,69,-51,1000,44,17423
2023-02-17 04:22:51,4668,72,0,3519,-179,-179,4089,71,-120,983,51,17422
2023-02-17 04:47:50,5343,70,0,3319,-312,-297,3963,67,7,1454,66,17418
2023-02-17 04:52:50,5509,69,0,3400,-741,-865,3949,66,38,1203,66,17417
2023-02-17 04:57:50,5716,68,0,3489,-803,-441,4000,64,77,1264,68,17410
2023-02-17 05:02:51,5944,66,0,3400,-393,-386,3986,63,120,1251,73,17413
2023-02-17 05:07:50,6146,65,0,3250,-519,-745,3978,62,158,1083,83,17421
2023-02-17 05:12:50,6377,64,0,3379,-530,-519,3962,60,201,1209,81,17411
2023-02-17 05:17:50,6606,62,0,3419,-248,-181,3958,59,244,1134,83,17412
2023-02-17 05:22:50,6712,61,0,3289,-180,-218,3963,58,264,870,90,17413
2023-02-17 05:27:50,6868,60,0,3139,-302,-267,3934,57,293,1164,96,17412
2023-02-17 05:37:51,7116,59,0,3219,-253,-244,3925,56,340,1325,82,17417
2023-02-17 05:42:50,7244,58,0,3319,-363,-441,3914,55,364,1315,71,17423
2023-02-17 05:47:50,7379,57,0,3200,-303,-288,3901,54,389,1395,69,17423
2023-02-17 05:52:50,7516,56,0,3219,-251,-238,3895,53,415,1510,64,17410
2023-02-17 05:57:50,7673,55,0,3259,-323,-532,3864,52,444,1451,62,17410
2023-02-17 06:02:50,7808,54,0,3319,-340,-194,3863,52,470,1367,60,17410
2023-02-17 06:07:50,7966,53,0,3329,-581,-527,3850,50,498,1442,62,17412
2023-02-17 06:12:50,8125,52,0,3129,-506,-332,3861,50,527,1388,69,17412
2023-02-17 06:17:50,8271,51,0,3119,-265,-261,3839,49,555,1343,72,17419
2023-02-17 06:22:50,8421,50,0,3029,-296,-217,3793,48,584,1267,78,17423
2023-02-17 06:27:51,8569,49,0,3079,-475,-285,3841,47,612,1237,79,17421
2023-02-17 06:32:50,8726,48,0,3219,-271,-190,3819,46,642,1183,75,17422
2023-02-17 06:37:50,8853,47,0,3179,-354,-238,3834,45,665,1139,78,17408
2023-02-17 06:42:50,9019,46,0,3219,-393,-474,3825,44,697,1104,80,17412
2023-02-17 06:47:50,9168,45,0,3219,-512,-1054,3814,43,725,1147,81,17412
2023-02-17 06:52:50,9203,44,1,3959,3088,3147,3825,43,731,1000,66,17414
2023-02-17 06:57:51,7900,52,1,4250,2922,2922,4153,51,487,1000,46,17414
2023-02-17 07:02:50,6636,60,1,4300,2605,2605,4198,59,250,1000,66,17414
2023-02-17 07:08:40,5702,66,1,4109,1478,1482,4198,65,74,1000,48,17414
2023-02-17 07:14:48,5095,70,1,4339,1995,1993,4226,69,-40,1000,36,17414
2023-02-17 07:18:55,4011,76,1,4400,1940,1941,4275,75,-243,1000,28,17414
2023-02-17 07:23:17,3383,80,0,4059,0,3,4228,79,-361,1000,26,17414
2023-02-17 11:17:50,3037,82,1,3759,1023,1021,4315,81,-453,1000,33,1030
2023-02-17 11:23:57,2871,83,0,3689,0,4,4240,82,-484,1000,33,1030
2023-02-17 11:37:50,2454,86,1,3800,932,905,4351,85,-563,1000,29,1030
2023-02-17 11:52:50,2230,87,1,3739,936,1048,4366,86,-605,1000,29,1030
2023-02-17 11:59:13,1796,89,0,3739,-11,-10,4346,89,-686,1000,28,1030
2023-02-17 12:12:50,1608,91,1,3739,1073,1074,4369,90,-722,1000,29,1030
2023-02-17 12:18:46,1406,92,0,3700,0,5,4355,91,-759,1000,30,1030
2023-02-17 12:32:51,942,95,1,3639,603,605,4427,94,-846,1000,37,1030
2023-02-17 12:37:50,706,96,1,3609,468,469,4432,96,-891,1000,42,1030
2023-02-17 12:42:50,520,97,1,3529,376,376,4436,97,-926,1000,49,1030
2023-02-17 12:47:51,370,98,1,3409,302,304,4438,98,-954,1000,57,1030
2023-02-17 12:52:50,248,99,1,3329,248,249,4440,99,-977,1000,64,1030
2023-02-17 12:57:50,148,100,1,3219,203,203,4442,99,-996,1000,70,1030
2023-02-17 14:57:50,1075,99,0,2889,-189,-208,4329,93,-822,1972,61,1027
2023-02-17 15:02:50,1168,98,0,2879,-203,-273,4324,93,-804,2123,61,1025
2023-02-17 15:07:50,1337,97,0,2950,-509,-490,4305,92,-772,2343,57,1024
2023-02-17 15:27:50,1474,96,0,2559,-140,-136,4303,91,-747,1532,74,1024
2023-02-17 15:37:50,1607,95,0,2769,-145,-138,4299,90,-722,1815,63,1024
2023-02-17 15:47:50,1741,94,0,2919,-168,-140,4290,89,-696,2028,57,1024
2023-02-17 15:57:50,1877,93,0,3000,-157,-143,4281,88,-671,2147,54,1024
2023-02-17 16:07:51,2013,92,0,3139,-153,-140,4272,87,-645,2361,48,1024
2023-02-17 16:22:50,2217,91,0,3229,-148,-141,4259,86,-607,2507,45,1024
2023-02-17 16:32:50,2340,90,0,2839,-248,-272,4259,86,-584,1845,63,1024
2023-02-17 17:40:06,2636,89,0,2359,-25,-21,4254,84,-560,1065,101,17408
2023-02-17 17:54:53,2648,88,0,2579,-8,2,4250,84,-558,1312,82,1024
2023-02-17 20:02:50,2814,87,0,2459,-11,-2,4244,83,-527,820,93,1024
2023-02-17 22:17:18,3011,86,0,2559,-22,-15,4218,82,-489,1211,86,1027
2023-02-17 22:37:52,3123,85,0,2500,-9,-1,4219,81,-469,980,91,1024
2023-02-17 23:52:32,3265,84,0,1969,-9,-1,4210,80,-441,516,143,17408
2023-02-18 00:02:50,3465,83,0,2319,-148,-142,4171,79,-403,1047,111,33793
