TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-19 22:03:28,15883,2,1,3050,403,346,3608,2,1996,1000,350,39950
2023-02-19 22:08:28,15188,6,0,3450,-690,-723,3657,5,1865,313,124,39948
2023-02-19 22:18:29,15252,5,0,3250,-63,-57,3684,6,1877,388,141,39948
2023-02-19 22:23:29,15411,4,0,3309,-603,-609,3627,4,1907,430,161,39951
2023-02-19 22:28:29,15684,2,0,3400,-15,-7,3556,3,1958,434,202,39948
2023-02-19 22:39:43,15861,1,0,2959,-13,-7,3542,2,1992,234,365,39950
