TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus
2023-02-20 02:30:28,15855,2,1,2559,392,649,3664,2,1987,1000,447,39951
2023-02-20 02:35:40,15302,5,1,2709,1818,1804,3868,5,1883,1000,230,39948
2023-02-20 02:42:02,14191,12,1,2729,1647,1703,3871,12,1675,1000,114,39951
2023-02-20 02:46:00,13087,19,1,2669,1577,1737,3923,19,1467,1000,114,39951
2023-02-20 02:50:28,11731,28,0,2689,-237,-635,3805,27,1213,1000,123,39949
2023-02-20 02:55:29,11908,27,0,2609,-101,-102,3796,26,1246,290,122,39948
2023-02-20 03:00:28,11957,26,0,2759,-8,-5,3794,26,1255,238,112,39949
2023-02-20 03:06:59,12120,25,0,2789,-52,-120,3741,24,1286,514,109,39951
2023-02-20 03:25:28,12419,22,0,2529,-10,-7,3770,23,1342,746,118,39951
2023-02-20 03:30:29,12591,21,0,2669,-326,-383,3663,21,1374,783,115,39950
2023-02-20 03:35:29,12922,20,0,3200,-698,-615,3685,19,1436,844,93,39938
2023-02-20 03:40:28,13074,19,0,3050,-206,-197,3741,18,1465,739,97,39947
2023-02-20 03:45:28,13170,18,0,2929,-15,-3,3696,18,1483,727,101,39947
2023-02-20 03:50:29,13423,16,0,3350,-668,-584,3677,16,1531,898,87,39945
2023-02-20 03:55:28,13790,14,0,3589,-643,-645,3652,14,1599,1147,77,39949
2023-02-20 04:00:28,14171,12,0,3779,-1031,-905,3643,11,1664,1133,74,39940
2023-02-20 04:05:29,14543,10,0,3839,-785,-659,3628,9,1729,1078,76,39944
2023-02-20 04:10:29,14867,7,0,3919,-1050,-1123,3621,7,1797,962,83,39951
2023-02-20 04:15:28,15191,6,0,3889,-611,-594,3614,5,1866,987,95,39936
2023-02-20 04:20:29,15508,4,0,3789,-843,-692,3569,3,1929,832,136,39943
2023-02-20 04:25:28,15848,1,0,3889,-845,-844,3456,1,1994,644,217,39949
2023-02-20 04:30:28,15778,3,0,3959,-834,-814,3534,2,1972,1000,161,39951
